TN
CGPLH78
CGPLH449
CGPLH424
HIP_30
CGPLH364
HIP_13
CGPLH501
HIP_3
HIP_48
CGPLH441
CGPLH307
CGPLH474
CGPLH369_Rep
CGPLH479
Ctrl_19
CGPLH400_Rep
CGPLH337
CGPLH35
CGPLH354
CGPLH406
CGPLH492
CGPLH84
CGPLH469
CGPLH420
CGPLH369
CGPLH446
CGPLH411
CGPLH389
CGPLH46
CGPLH646
CGPLH466
HIP_42
CGPLH430
CGPLH509
CGPLH517_Rep
CGPLH505
CGPLH455_Rep
CGPLH497
CGPLH480
CGPLH625
CGPLH625_Rep
CGPLH435
CGPLH194
CGPLH201
HIP_39
CGPLH393
CGPLH54
CGPLH314_Rep
Ctrl_3
CGPLH209
CGPLH319
CGPLH330
HIP_23
HIP_9
CGPLH385
CGPLH510
CGPLH416
HIP_19
CGPLH341
HIP_1
CGPLH356
CGPLH485
CGPLH327
CGPLH395
Ctrl_14
Ctrl_5
