TN
HIP_33
CGPLH513
CGPLH426
CGPLH310
CGPLH449
CGPLH401_Rep
CGPLH364
HIP_3
CGPLH439
CGPLH508_Rep
CGPLH517
CGPLH479
HIP_47
CGPLH208
Ctrl_19
CGPLH337
CGPLH354
CGPLH492
CGPLH80
Ctrl_1
CGPLH346
CGPLH358
CGPLH380
CGPLH420
CGPLH369
CGPLH446
CGPLH411
CGPLH398
CGPLH389
CGPLH46
CGPLH329
CGPLH466
CGPLH308
Ctrl_6
CGPLH430
CGPLH505
CGPLH455_Rep
CGPLH625
CGPLH483
Ctrl_20
HIP_43
CGPLH47
HIP_14
CGPLH193
CGPLH497_Rep
CGPLH201
CGPLH484
HIP_39
CGPLH393
CGPLH466_Rep
CGPLH54
CGPLH342
HIP_22
CGPLH319
CGPLH431
HIP_9
CGPLH385
CGPLH416
HIP_19
Ctrl_12
CGPLH403
HIP_1
CGPLH327
CGPLH64
CGPLH50
CGH14
CGPLH79
