TN
CGPLH464
CGPLH642
CGPLH342
CGPLH519
CGPLH449
CGPLH471
HIP_31
CGPLH192
CGPLH495
CGPLH361
CGPLH445
CGPLH413
Ctrl_19
HIP_6
CGPLH325
HIP_17
CGPLH48
CGPLH468
CGPLH506
Ctrl_1
CGPLH356
CGPLH350
CGPLH311
HIP_41
CGPLH403
CGPLH340
CGPLH515
CGPLH395
CGPLH366
CGPLH50
CGPLH381
CGPLH196
CGPLH386_Rep
CGPLH456
CGPLH391
CGPLH76
CGPLH335
CGPLH478
CGPLH501
CGPLH328
CGPLH400
CGPLH625_Rep
CGPLH316
CGPLH416
Ctrl_3
CGPLH56
CGPLH408
CGPLH455
CGPLH510
CGPLH205
HIP_11
CGPLH491
CGPLH435
HIP_21
CGPLH211
CGPLH43
HIP_44
CGPLH79
CGPLH424
Ctrl_9
CGPLH484
Ctrl_14
CGPLH431
HIP_23
CGPLH370
